nm, %T
2178.000000, 88.571151
2177.000000, 88.574526
2176.000000, 88.586993
2175.000000, 88.593386
2174.000000, 88.590914
2173.000000, 88.603877
2172.000000, 88.613112
2171.000000, 88.615149
2170.000000, 88.629741
2169.000000, 88.632660
2168.000000, 88.618346
2167.000000, 88.624089
2166.000000, 88.637656
2165.000000, 88.632210
2164.000000, 88.633685
2163.000000, 88.650488
2162.000000, 88.659100
2161.000000, 88.661946
2160.000000, 88.655379
2159.000000, 88.655630
2158.000000, 88.662006
2157.000000, 88.672899
2156.000000, 88.675445
2155.000000, 88.690516
2154.000000, 88.688968
2153.000000, 88.682811
2152.000000, 88.679953
2151.000000, 88.680898
2150.000000, 88.691471
2149.000000, 88.693911
2148.000000, 88.693869
2147.000000, 88.723616
2146.000000, 88.709945
2145.000000, 88.702713
2144.000000, 88.706083
2143.000000, 88.715730
2142.000000, 88.725315
2141.000000, 88.715541
2140.000000, 88.730603
2139.000000, 88.737902
2138.000000, 88.727318
2137.000000, 88.729426
2136.000000, 88.717453
2135.000000, 88.736543
2134.000000, 88.723779
2133.000000, 88.719874
2132.000000, 88.720324
2131.000000, 88.729446
2130.000000, 88.722427
2129.000000, 88.720573
2128.000000, 88.747569
2127.000000, 88.727994
2126.000000, 88.719172
2125.000000, 88.720040
2124.000000, 88.728491
2123.000000, 88.732840
2122.000000, 88.724143
2121.000000, 88.725250
2120.000000, 88.732911
2119.000000, 88.725781
2118.000000, 88.754724
2117.000000, 88.748893
2116.000000, 88.738783
2115.000000, 88.733964
2114.000000, 88.722037
2113.000000, 88.729805
2112.000000, 88.720746
2111.000000, 88.729162
2110.000000, 88.731845
2109.000000, 88.735434
2108.000000, 88.719995
2107.000000, 88.720034
2106.000000, 88.720139
2105.000000, 88.727854
2104.000000, 88.720453
2103.000000, 88.708654
2102.000000, 88.723008
2101.000000, 88.735279
2100.000000, 88.743418
2099.000000, 88.735668
2098.000000, 88.704413
2097.000000, 88.729420
2096.000000, 88.701857
2095.000000, 88.685362
2094.000000, 88.689963
2093.000000, 88.716944
2092.000000, 88.714369
2091.000000, 88.713392
2090.000000, 88.708030
2089.000000, 88.698252
2088.000000, 88.723404
2087.000000, 88.736598
2086.000000, 88.713803
2085.000000, 88.733337
2084.000000, 88.712796
2083.000000, 88.719813
2082.000000, 88.711697
2081.000000, 88.722746
2080.000000, 88.700214
2079.000000, 88.702156
2078.000000, 88.713680
2077.000000, 88.680413
2076.000000, 88.692463
2075.000000, 88.681549
2074.000000, 88.674700
2073.000000, 88.700869
2072.000000, 88.702200
2071.000000, 88.701872
2070.000000, 88.706091
2069.000000, 88.686869
2068.000000, 88.692627
2067.000000, 88.673931
2066.000000, 88.682763
2065.000000, 88.690912
2064.000000, 88.673637
2063.000000, 88.672459
2062.000000, 88.685542
2061.000000, 88.710376
2060.000000, 88.676707
2059.000000, 88.700728
2058.000000, 88.669142
2057.000000, 88.674869
2056.000000, 88.668050
2055.000000, 88.663037
2054.000000, 88.679549
2053.000000, 88.684278
2052.000000, 88.685441
2051.000000, 88.671679
2050.000000, 88.683625
2049.000000, 88.699581
2048.000000, 88.665120
2047.000000, 88.664994
2046.000000, 88.688001
2045.000000, 88.675173
2044.000000, 88.675504
2043.000000, 88.677485
2042.000000, 88.663657
2041.000000, 88.647158
2040.000000, 88.658451
2039.000000, 88.653586
2038.000000, 88.642703
2037.000000, 88.642836
2036.000000, 88.642378
2035.000000, 88.641519
2034.000000, 88.633164
2033.000000, 88.638728
2032.000000, 88.639802
2031.000000, 88.628362
2030.000000, 88.637569
2029.000000, 88.634543
2028.000000, 88.637569
2027.000000, 88.632553
2026.000000, 88.633532
2025.000000, 88.624542
2024.000000, 88.625683
2023.000000, 88.623397
2022.000000, 88.606366
2021.000000, 88.596395
2020.000000, 88.609402
2019.000000, 88.597775
2018.000000, 88.593582
2017.000000, 88.594672
2016.000000, 88.592017
2015.000000, 88.595831
2014.000000, 88.590410
2013.000000, 88.565830
2012.000000, 88.582484
2011.000000, 88.572700
2010.000000, 88.594285
2009.000000, 88.583657
2008.000000, 88.571577
2007.000000, 88.582418
2006.000000, 88.592944
2005.000000, 88.582104
2004.000000, 88.588447
2003.000000, 88.586077
2002.000000, 88.570926
2001.000000, 88.561111
2000.000000, 88.588542
1999.000000, 88.601852
1998.000000, 88.624023
1997.000000, 88.587159
1996.000000, 88.602293
1995.000000, 88.568496
1994.000000, 88.596518
1993.000000, 88.600998
1992.000000, 88.564756
1991.000000, 88.593972
1990.000000, 88.621469
1989.000000, 88.573973
1988.000000, 88.568131
1987.000000, 88.586959
1986.000000, 88.596309
1985.000000, 88.616043
1984.000000, 88.591530
1983.000000, 88.578564
1982.000000, 88.582929
1981.000000, 88.579998
1980.000000, 88.591290
1979.000000, 88.558408
1978.000000, 88.570474
1977.000000, 88.565632
1976.000000, 88.553971
1975.000000, 88.583924
1974.000000, 88.562914
1973.000000, 88.542164
1972.000000, 88.551585
1971.000000, 88.565726
1970.000000, 88.543289
1969.000000, 88.528838
1968.000000, 88.544609
1967.000000, 88.554033
1966.000000, 88.554401
1965.000000, 88.551365
1964.000000, 88.544830
1963.000000, 88.548338
1962.000000, 88.557290
1961.000000, 88.553172
1960.000000, 88.540503
1959.000000, 88.537571
1958.000000, 88.528661
1957.000000, 88.521624
1956.000000, 88.520305
1955.000000, 88.511583
1954.000000, 88.512255
1953.000000, 88.523329
1952.000000, 88.513536
1951.000000, 88.506896
1950.000000, 88.511429
1949.000000, 88.499304
1948.000000, 88.511450
1947.000000, 88.513779
1946.000000, 88.497174
1945.000000, 88.497031
1944.000000, 88.473858
1943.000000, 88.491614
1942.000000, 88.508279
1941.000000, 88.485903
1940.000000, 88.469671
1939.000000, 88.455779
1938.000000, 88.452003
1937.000000, 88.440643
1936.000000, 88.419706
1935.000000, 88.408078
1934.000000, 88.403186
1933.000000, 88.401489
1932.000000, 88.402895
1931.000000, 88.398676
1930.000000, 88.371468
1929.000000, 88.331481
1928.000000, 88.332205
1927.000000, 88.342965
1926.000000, 88.335634
1925.000000, 88.337703
1924.000000, 88.322823
1923.000000, 88.291110
1922.000000, 88.285044
1921.000000, 88.289725
1920.000000, 88.263848
1919.000000, 88.245654
1918.000000, 88.259214
1917.000000, 88.253992
1916.000000, 88.252404
1915.000000, 88.236746
1914.000000, 88.244694
1913.000000, 88.229186
1912.000000, 88.225285
1911.000000, 88.224112
1910.000000, 88.214985
1909.000000, 88.220235
1908.000000, 88.225742
1907.000000, 88.222196
1906.000000, 88.202935
1905.000000, 88.214355
1904.000000, 88.206716
1903.000000, 88.208019
1902.000000, 88.200148
1901.000000, 88.212998
1900.000000, 88.178487
1899.000000, 88.166351
1898.000000, 88.185108
1897.000000, 88.202391
1896.000000, 88.194098
1895.000000, 88.191209
1894.000000, 88.202427
1893.000000, 88.173043
1892.000000, 88.184806
1891.000000, 88.169555
1890.000000, 88.188676
1889.000000, 88.216601
1888.000000, 88.176089
1887.000000, 88.174117
1886.000000, 88.170104
1885.000000, 88.181003
1884.000000, 88.182882
1883.000000, 88.177145
1882.000000, 88.175339
1881.000000, 88.180792
1880.000000, 88.179062
1879.000000, 88.175664
1878.000000, 88.176646
1877.000000, 88.141885
1876.000000, 88.128849
1875.000000, 88.151044
1874.000000, 88.136624
1873.000000, 88.124182
1872.000000, 88.113936
1871.000000, 88.094590
1870.000000, 88.079890
1869.000000, 88.082465
1868.000000, 88.081487
1867.000000, 88.075263
1866.000000, 88.074693
1865.000000, 88.072491
1864.000000, 88.069407
1863.000000, 88.046950
1862.000000, 88.059698
1861.000000, 88.033200
1860.000000, 88.072300
1859.000000, 88.081264
1858.000000, 88.041893
1857.000000, 88.049788
1856.000000, 88.001388
1855.000000, 88.046718
1854.000000, 88.029251
1853.000000, 88.014072
1852.000000, 87.987836
1851.000000, 87.989399
1850.000000, 87.961699
1849.000000, 87.963861
1848.000000, 87.949671
1847.000000, 87.961096
1846.000000, 87.963553
1845.000000, 87.965670
1844.000000, 87.950567
1843.000000, 87.951998
1842.000000, 87.914316
1841.000000, 87.952742
1840.000000, 87.933888
1839.000000, 87.933830
1838.000000, 87.930949
1837.000000, 87.922832
1836.000000, 87.911503
1835.000000, 87.854486
1834.000000, 87.910026
1833.000000, 87.881501
1832.000000, 87.874619
1831.000000, 87.828541
1830.000000, 87.827191
1829.000000, 87.858694
1828.000000, 87.806005
1827.000000, 87.816679
1826.000000, 87.795237
1825.000000, 87.764598
1824.000000, 87.761911
1823.000000, 87.766862
1822.000000, 87.751710
1821.000000, 87.754165
1820.000000, 87.762975
1819.000000, 87.719857
1818.000000, 87.720878
1817.000000, 87.714850
1816.000000, 87.725138
1815.000000, 87.676149
1814.000000, 87.666206
1813.000000, 87.643864
1812.000000, 87.679773
1811.000000, 87.642441
1810.000000, 87.641126
1809.000000, 87.636636
1808.000000, 87.622126
1807.000000, 87.614407
1806.000000, 87.577593
1805.000000, 87.612331
1804.000000, 87.597697
1803.000000, 87.573781
1802.000000, 87.540541
1801.000000, 87.584600
1800.000000, 87.536080
1799.000000, 87.516382
1798.000000, 87.483275
1797.000000, 87.488046
1796.000000, 87.506357
1795.000000, 87.485677
1794.000000, 87.469351
1793.000000, 87.427463
1792.000000, 87.450665
1791.000000, 87.442887
1790.000000, 87.432583
1789.000000, 87.411394
1788.000000, 87.388440
1787.000000, 87.386514
1786.000000, 87.370309
1785.000000, 87.365488
1784.000000, 87.343831
1783.000000, 87.353895
1782.000000, 87.335190
1781.000000, 87.312716
1780.000000, 87.307563
1779.000000, 87.267821
1778.000000, 87.268607
1777.000000, 87.263251
1776.000000, 87.246350
1775.000000, 87.211874
1774.000000, 87.208479
1773.000000, 87.195631
1772.000000, 87.176822
1771.000000, 87.174840
1770.000000, 87.172652
1769.000000, 87.157359
1768.000000, 87.143150
1767.000000, 87.127111
1766.000000, 87.120375
1765.000000, 87.102371
1764.000000, 87.070578
1763.000000, 87.065459
1762.000000, 87.053845
1761.000000, 87.041670
1760.000000, 87.029225
1759.000000, 87.019873
1758.000000, 87.005593
1757.000000, 86.993261
1756.000000, 86.978552
1755.000000, 86.975067
1754.000000, 86.968085
1753.000000, 86.961227
1752.000000, 86.948285
1751.000000, 86.937804
1750.000000, 86.927411
1749.000000, 86.911178
1748.000000, 86.890093
1747.000000, 86.865052
1746.000000, 86.859733
1745.000000, 86.849294
1744.000000, 86.838285
1743.000000, 86.830500
1742.000000, 86.809404
1741.000000, 86.802103
1740.000000, 86.794842
1739.000000, 86.777875
1738.000000, 86.759278
1737.000000, 86.743151
1736.000000, 86.730447
1735.000000, 86.722297
1734.000000, 86.717415
1733.000000, 86.705758
1732.000000, 86.687930
1731.000000, 86.672607
1730.000000, 86.655540
1729.000000, 86.637325
1728.000000, 86.627375
1727.000000, 86.617778
1726.000000, 86.606233
1725.000000, 86.576833
1724.000000, 86.553989
1723.000000, 86.547019
1722.000000, 86.533161
1721.000000, 86.516035
1720.000000, 86.491941
1719.000000, 86.472244
1718.000000, 86.468619
1717.000000, 86.460207
1716.000000, 86.440763
1715.000000, 86.422099
1714.000000, 86.407432
1713.000000, 86.385605
1712.000000, 86.361730
1711.000000, 86.346724
1710.000000, 86.338003
1709.000000, 86.335132
1708.000000, 86.322880
1707.000000, 86.281907
1706.000000, 86.267698
1705.000000, 86.273730
1704.000000, 86.252043
1703.000000, 86.226753
1702.000000, 86.211315
1701.000000, 86.188059
1700.000000, 86.198350
1699.000000, 86.188509
1698.000000, 86.135298
1697.000000, 86.129290
1696.000000, 86.130582
1695.000000, 86.104863
1694.000000, 86.081938
1693.000000, 86.069699
1692.000000, 86.054370
1691.000000, 86.034976
1690.000000, 86.034348
1689.000000, 86.016767
1688.000000, 85.995672
1687.000000, 85.976134
1686.000000, 85.940919
1685.000000, 85.925801
1684.000000, 85.914983
1683.000000, 85.889869
1682.000000, 85.871596
1681.000000, 85.860982
1680.000000, 85.854271
1679.000000, 85.844150
1678.000000, 85.820075
1677.000000, 85.799888
1676.000000, 85.782359
1675.000000, 85.768584
1674.000000, 85.751006
1673.000000, 85.731173
1672.000000, 85.722446
