nm	T	R	A
2079.000000	  88.702156	  11.466209	  -0.168365
2078.000000	  88.713680	  11.467869	  -0.181549
2077.000000	  88.680413	  11.465711	  -0.146124
2076.000000	  88.692463	  11.476115	  -0.168578
2075.000000	  88.681549	  11.478174	  -0.159723
2074.000000	  88.674700	  11.482480	  -0.157180
2073.000000	  88.700869	  11.493541	  -0.194410
2072.000000	  88.702200	  11.489949	  -0.192149
2071.000000	  88.701872	  11.498471	  -0.200343
2070.000000	  88.706091	  11.498898	  -0.204989
2069.000000	  88.686869	  11.502685	  -0.189554
2068.000000	  88.692627	  11.517280	  -0.209907
2067.000000	  88.673931	  11.516726	  -0.190657
2066.000000	  88.682763	  11.511444	  -0.194207
2065.000000	  88.690912	  11.519177	  -0.210089
2064.000000	  88.673637	  11.534104	  -0.207741
2063.000000	  88.672459	  11.524445	  -0.196904
2062.000000	  88.685542	  11.529815	  -0.215357
2061.000000	  88.710376	  11.539629	  -0.250005
2060.000000	  88.676707	  11.539205	  -0.215912
2059.000000	  88.700728	  11.545633	  -0.246361
2058.000000	  88.669142	  11.553617	  -0.222759
2057.000000	  88.674869	  11.560810	  -0.235679
2056.000000	  88.668050	  11.560210	  -0.228260
2055.000000	  88.663037	  11.577146	  -0.240183
2054.000000	  88.679549	  11.568135	  -0.247684
2053.000000	  88.684278	  11.567633	  -0.251911
2052.000000	  88.685441	  11.578873	  -0.264314
2051.000000	  88.671679	  11.584901	  -0.256580
2050.000000	  88.683625	  11.594712	  -0.278337
2049.000000	  88.699581	  11.601646	  -0.301227
2048.000000	  88.665120	  11.599669	  -0.264789
2047.000000	  88.664994	  11.603424	  -0.268418
2046.000000	  88.688001	  11.614052	  -0.302053
2045.000000	  88.675173	  11.622373	  -0.297546
2044.000000	  88.675504	  11.615844	  -0.291348
2043.000000	  88.677485	  11.627156	  -0.304641
2042.000000	  88.663657	  11.626385	  -0.290042
2041.000000	  88.647158	  11.644893	  -0.292051
2040.000000	  88.658451	  11.646630	  -0.305081
2039.000000	  88.653586	  11.645682	  -0.299268
2038.000000	  88.642703	  11.659243	  -0.301946
2037.000000	  88.642836	  11.656799	  -0.299635
2036.000000	  88.642378	  11.662118	  -0.304496
2035.000000	  88.641519	  11.670901	  -0.312420
2034.000000	  88.633164	  11.667998	  -0.301162
2033.000000	  88.638728	  11.684143	  -0.322871
2032.000000	  88.639802	  11.686677	  -0.326479
2031.000000	  88.628362	  11.683818	  -0.312180
