nm, %R
2164.000000, 11.434124
2163.000000, 11.434207
2162.000000, 11.435540
2161.000000, 11.443333
2160.000000, 11.440566
2159.000000, 11.444515
2158.000000, 11.449390
2157.000000, 11.438462
2156.000000, 11.444371
2155.000000, 11.448389
2154.000000, 11.450565
2153.000000, 11.445629
2152.000000, 11.447557
2151.000000, 11.455252
2150.000000, 11.455938
2149.000000, 11.458107
2148.000000, 11.457329
2147.000000, 11.459118
2146.000000, 11.464889
2145.000000, 11.466809
2144.000000, 11.468187
2143.000000, 11.466877
2142.000000, 11.464406
2141.000000, 11.474989
2140.000000, 11.475443
2139.000000, 11.467806
2138.000000, 11.468709
2137.000000, 11.461749
2136.000000, 11.459612
2135.000000, 11.469996
2134.000000, 11.465625
2133.000000, 11.466165
2132.000000, 11.464609
2131.000000, 11.463498
2130.000000, 11.461402
2129.000000, 11.465518
2128.000000, 11.468013
2127.000000, 11.459362
2126.000000, 11.457763
2125.000000, 11.457394
2124.000000, 11.458088
2123.000000, 11.463347
2122.000000, 11.451463
2121.000000, 11.455833
2120.000000, 11.443085
2119.000000, 11.444922
2118.000000, 11.448324
2117.000000, 11.439445
2116.000000, 11.436474
2115.000000, 11.436273
2114.000000, 11.428439
2113.000000, 11.438015
2112.000000, 11.423593
2111.000000, 11.417710
2110.000000, 11.412933
2109.000000, 11.413369
2108.000000, 11.418605
2107.000000, 11.398595
2106.000000, 11.398999
2105.000000, 11.402967
2104.000000, 11.401032
2103.000000, 11.386074
2102.000000, 11.386546
2101.000000, 11.390241
2100.000000, 11.385158
2099.000000, 11.393346
2098.000000, 11.395076
2097.000000, 11.383915
2096.000000, 11.399171
2095.000000, 11.402628
2094.000000, 11.404583
2093.000000, 11.414842
2092.000000, 11.412550
2091.000000, 11.420877
2090.000000, 11.417391
2089.000000, 11.419320
2088.000000, 11.433118
2087.000000, 11.427891
2086.000000, 11.437008
2085.000000, 11.436735
2084.000000, 11.443241
2083.000000, 11.447250
2082.000000, 11.452074
2081.000000, 11.452475
2080.000000, 11.461440
2079.000000, 11.466209
2078.000000, 11.467869
2077.000000, 11.465711
2076.000000, 11.476115
2075.000000, 11.478174
2074.000000, 11.482480
2073.000000, 11.493541
2072.000000, 11.489949
2071.000000, 11.498471
2070.000000, 11.498898
2069.000000, 11.502685
2068.000000, 11.517280
2067.000000, 11.516726
2066.000000, 11.511444
2065.000000, 11.519177
2064.000000, 11.534104
2063.000000, 11.524445
2062.000000, 11.529815
2061.000000, 11.539629
2060.000000, 11.539205
2059.000000, 11.545633
2058.000000, 11.553617
2057.000000, 11.560810
2056.000000, 11.560210
2055.000000, 11.577146
2054.000000, 11.568135
2053.000000, 11.567633
2052.000000, 11.578873
2051.000000, 11.584901
2050.000000, 11.594712
2049.000000, 11.601646
2048.000000, 11.599669
2047.000000, 11.603424
2046.000000, 11.614052
2045.000000, 11.622373
2044.000000, 11.615844
2043.000000, 11.627156
2042.000000, 11.626385
2041.000000, 11.644893
2040.000000, 11.646630
2039.000000, 11.645682
2038.000000, 11.659243
2037.000000, 11.656799
2036.000000, 11.662118
2035.000000, 11.670901
2034.000000, 11.667998
2033.000000, 11.684143
2032.000000, 11.686677
2031.000000, 11.683818
2030.000000, 11.691864
2029.000000, 11.698314
2028.000000, 11.704320
2027.000000, 11.713610
2026.000000, 11.716196
2025.000000, 11.717878
2024.000000, 11.719406
2023.000000, 11.724686
2022.000000, 11.733002
2021.000000, 11.735523
2020.000000, 11.740128
2019.000000, 11.746611
2018.000000, 11.751237
2017.000000, 11.751706
2016.000000, 11.757318
2015.000000, 11.761163
2014.000000, 11.769790
2013.000000, 11.768970
2012.000000, 11.776644
2011.000000, 11.776568
2010.000000, 11.787452
2009.000000, 11.794989
2008.000000, 11.795602
2007.000000, 11.799557
2006.000000, 11.804494
2005.000000, 11.813827
2004.000000, 11.818900
2003.000000, 11.819223
2002.000000, 11.818326
2001.000000, 11.817290
2000.000000, 11.823670
1999.000000, 11.828438
1998.000000, 11.831657
1997.000000, 11.829943
1996.000000, 11.831042
1995.000000, 11.831557
1994.000000, 11.833209
1993.000000, 11.831818
1992.000000, 11.830300
1991.000000, 11.837921
1990.000000, 11.842909
1989.000000, 11.840307
1988.000000, 11.842995
1987.000000, 11.846450
1986.000000, 11.845889
1985.000000, 11.849122
1984.000000, 11.846629
1983.000000, 11.852068
1982.000000, 11.853833
1981.000000, 11.857418
1980.000000, 11.860833
1979.000000, 11.855842
1978.000000, 11.858595
1977.000000, 11.863690
1976.000000, 11.865021
1975.000000, 11.868613
1974.000000, 11.868361
1973.000000, 11.871053
1972.000000, 11.872849
1971.000000, 11.875288
1970.000000, 11.877688
1969.000000, 11.881908
1968.000000, 11.884968
1967.000000, 11.890499
1966.000000, 11.897228
1965.000000, 11.899687
1964.000000, 11.901566
1963.000000, 11.902639
1962.000000, 11.908926
1961.000000, 11.912677
1960.000000, 11.913417
1959.000000, 11.921128
1958.000000, 11.925102
1957.000000, 11.924665
1956.000000, 11.929736
1955.000000, 11.933840
1954.000000, 11.934683
1953.000000, 11.940791
1952.000000, 11.945197
1951.000000, 11.945990
1950.000000, 11.953105
1949.000000, 11.959230
1948.000000, 11.962415
1947.000000, 11.966502
1946.000000, 11.968564
1945.000000, 11.972261
1944.000000, 11.977174
1943.000000, 11.980963
1942.000000, 11.988770
1941.000000, 11.990848
1940.000000, 11.996546
1939.000000, 11.998890
1938.000000, 12.002065
1937.000000, 12.007181
1936.000000, 12.008548
1935.000000, 12.020038
1934.000000, 12.025158
1933.000000, 12.030551
1932.000000, 12.038149
1931.000000, 12.045516
1930.000000, 12.050222
1929.000000, 12.051724
1928.000000, 12.058455
1927.000000, 12.065759
1926.000000, 12.074399
1925.000000, 12.083841
1924.000000, 12.088880
1923.000000, 12.093747
1922.000000, 12.103598
1921.000000, 12.114351
1920.000000, 12.122706
1919.000000, 12.130770
1918.000000, 12.141389
1917.000000, 12.144276
1916.000000, 12.154790
1915.000000, 12.162498
